Index,Mac Name,Number of macSSID,Frequency,Signal,Lat,Lon,Alt,Time,
180,1c:b9:c4:16:05:78,1,Ariel_University,-91.0,32.10488619,35.21135337,698.0,Sun Dec 03 08:56:08 IST 2017, Approx. w-center algo1
181,1c:b9:c4:16:2b:e8,1,Ariel_University,-87.0,32.10488619,35.21135337,698.0,Sun Dec 03 08:56:08 IST 2017, Approx. w-center algo1
182,1c:b9:c4:14:30:3c,1,Ariel_University,-76.0,32.10296049325714,35.20969913393224,702.1428799579676,Sun Dec 03 09:00:27 IST 2017, Approx. w-center algo1
183,1c:b9:c4:16:ed:3c,1,Ariel_University,-74.0,32.10296049325714,35.20969913393224,702.1428799579676,Sun Dec 03 09:00:27 IST 2017, Approx. w-center algo1
184,1c:b9:c4:16:f1:5c,1,Ariel_University,-83.0,32.10296049325714,35.20969913393224,702.1428799579676,Sun Dec 03 09:00:27 IST 2017, Approx. w-center algo1
185,1c:b9:c4:92:af:77,1, ,-79.0,32.10296049325714,35.20969913393224,702.1428799579676,Sun Dec 03 09:00:27 IST 2017, Approx. w-center algo1
186,1c:b9:c4:94:30:37,1, ,-79.0,32.10296049325714,35.20969913393224,702.1428799579676,Sun Dec 03 09:00:27 IST 2017, Approx. w-center algo1
187,3c:52:82:ef:c4:3c,1,DIRECT-3B-HP DeskJet 3630 series,-72.0,32.10296049325714,35.20969913393224,702.1428799579676,Sun Dec 03 09:00:27 IST 2017, Approx. w-center algo1
188,e4:95:6e:40:87:1a,1,OOP_course,-12.0,32.10298811526831,35.20966517514508,702.0409029813914,Sun Dec 03 09:01:37 IST 2017, Approx. w-center algo1
189,1c:b9:c4:12:af:7c,1,Ariel_University,-77.0,32.103006095311606,35.20964526642827,702.4456558045867,Sun Dec 03 09:02:19 IST 2017, Approx. w-center algo1
190,1c:b9:c4:15:ec:3c,1,Ariel_University,-82.0,32.10302056472078,35.209661717337,702.7411783352208,Sun Dec 03 09:02:25 IST 2017, Approx. w-center algo1
191,1c:b9:c4:16:06:b8,1,Ariel_University,-89.0,32.10302056472078,35.209661717337,702.7411783352208,Sun Dec 03 09:02:25 IST 2017, Approx. w-center algo1
