Time,ID,Lat,Lon,Alt,#Wifi networks,SSID1,MAC1,Frequency1,Signal1,SSID2,MAC2,Frequency2,Signal2,SSID3,MAC3,Frequency3,Signal3,SSID4,MAC4,Frequency4,Signal4,SSID5,MAC5,Frequency5,Signal5,SSID6,MAC6,Frequency6,Signal6,SSID7,MAC7,Frequency7,Signal7,SSID8,MAC8,Frequency8,Signal8,SSID9,MAC9,Frequency9,Signal9,SSID10,MAC10,Frequency10,Signal10,
Fri Oct 27 16:12:01 IDT 2017,PB2-690Y_S200032_161214,32.16857397,34.81328609,-9.0,2,ben moshe,b4:ee:b4:36:d2:b0,2400,-51.0,ben moshe,b0:b2:8f:37:ba:c7,2400,-62.0,
Fri Oct 27 16:14:37 IDT 2017,PB2-690Y_S200032_161214,32.16866695,34.81322274,38.0,9,Robert1,3c:1e:04:03:7f:17,2400,-81.0,Howmanyistwo,74:da:38:50:77:f2,2400,-83.0,tslila,c4:3d:c7:5a:79:1c,2400,-87.0,BezeqFree,6a:12:f5:f9:5e:71,2400,-90.0,osnatg370,c0:ac:54:f5:7b:a7,2400,-90.0,OP2,a0:63:91:69:f6:af,2400,-92.0,NGOGA,30:b5:c2:fe:aa:56,2400,-92.0,DIRECT-35-HP DeskJet 3830 series,98:e7:f4:c6:4b:37,2400,-93.0,HUAWEI-C7FB,48:db:50:34:c7:fb,2400,-94.0,
Fri Oct 27 16:14:52 IDT 2017,PB2-690Y_S200032_161214,32.16868001,34.81321794,39.0,2,DIRECT-35-HP DeskJet 3830 series,98:e7:f4:c6:4b:37,2400,-87.0,Ester,f8:e9:03:13:74:ee,2400,-96.0,
Fri Oct 27 16:15:07 IDT 2017,PB2-690Y_S200032_161214,32.16868528,34.81321713,40.0,2,BezeqFree,6a:12:f5:f9:5e:71,2400,-85.0,hilda,00:02:6f:eb:a0:f4,2400,-92.0,
Fri Oct 27 16:15:37 IDT 2017,PB2-690Y_S200032_161214,32.16882634,34.81238415,40.0,6,DIRECT-A5-HP DeskJet 4670 series,fc:3f:db:7e:60:a6,2400,-81.0,LANDAU HOME,58:f3:9c:62:d2:60,2400,-87.0,May,14:cc:20:eb:cb:c6,2400,-90.0,HOTBOX-D1D7,fc:b4:e6:cf:d1:dd,2400,-90.0,HOTBOX-72B6,7c:03:4c:ba:bf:55,2400,-90.0,AEH-W4A1-b0411d287904,b0:41:1d:28:79:04,2400,-96.0,
Fri Oct 27 16:15:52 IDT 2017,PB2-690Y_S200032_161214,32.16874744,34.8109599,41.0,10,HOTBOX111,90:f6:52:28:38:19,2400,-71.0,HOTBOX111,c0:ac:54:f6:ae:5e,2400,-76.0,DIRECT-A5-HP DeskJet 4670 series,fc:3f:db:7e:60:a6,2400,-81.0,Nomi Fix WIFI,c4:6e:1f:30:2b:7c,2400,-84.0,BezeqFree,6a:12:f5:f9:5e:71,2400,-85.0,Robert1,3c:1e:04:03:7f:17,2400,-86.0,Howmanyistwo,74:da:38:50:77:f2,2400,-87.0,LANDAU HOME,58:f3:9c:62:d2:60,2400,-87.0,DIRECT-33-HP OfficeJet 6950,98:e7:f4:00:94:35,2400,-87.0,NGOGA,30:b5:c2:fe:aa:56,2400,-88.0,
Fri Oct 27 16:16:07 IDT 2017,PB2-690Y_S200032_161214,32.1682687,34.81030598,45.0,7,BARON WIFI 2.4,60:e3:27:bf:a1:a5,2400,-80.0,Oberyn Martell,18:d6:c7:fb:1c:0e,2400,-83.0,simon,e4:6f:13:73:0a:c2,2400,-87.0,GUYFI,c8:60:00:b1:d4:50,2400,-90.0,Rina,00:26:5a:77:8c:db,2400,-90.0,HP-Print-a2-LaserJet 400 color,e4:d5:3d:7d:d6:a2,2400,-90.0,terry_ap,5c:83:8f:33:bd:68,2400,-91.0,
Fri Oct 27 16:16:22 IDT 2017,PB2-690Y_S200032_161214,32.16763949,34.80988697,45.0,10,HOTBOX111,90:f6:52:28:38:19,2400,-71.0,HOTBOX111,c0:ac:54:f6:ae:5e,2400,-76.0,888Free,06:8d:db:6e:71:6d,2400,-80.0,CEO-WiFi_2.4,c4:12:f5:80:24:0b,2400,-82.0,888Free,06:8d:db:6e:71:bf,2400,-82.0,Nomi Fix WIFI,c4:6e:1f:30:2b:7c,2400,-84.0,BezeqFree,6a:12:f5:f9:5e:71,2400,-85.0,smartsell,78:e8:b6:69:2c:91,2400,-85.0,888Free,06:8d:db:6e:71:be,2400,-85.0,Robert1,3c:1e:04:03:7f:17,2400,-86.0,
Fri Oct 27 16:16:31 IDT 2017,PB2-690Y_S200032_161214,32.16762928,34.80987929,45.0,8,MOULY MAISON,00:78:9e:fa:15:91,2400,-74.0,Shaked-Guest WiFi,b0:aa:77:f1:3a:68,2400,-83.0,888Guest,02:8d:db:6e:71:be,2400,-84.0,888Corp,0a:8d:db:6e:71:bf,2400,-85.0,888Corp,0a:8d:db:6e:71:be,2400,-86.0,DIRECT-a8-HP M477 LaserJet,aa:6b:ad:04:c6:a8,2400,-87.0,888Guest,02:8d:db:6e:71:6d,2400,-87.0,HP-Print-f3-LaserJet 300,64:27:37:77:d1:f3,2400,-94.0,
