Mac nameDiff Lat,Diff Lon,Diff Alt,
24:79:2a:ab:07:b7,0.0,0.0,0.0,
24:79:2a:ab:bd:87,0.0,0.0,0.0,
24:79:2a:ac:5c:17,0.0,0.0,0.0,
2a:56:5a:9e:2e:ce,0.0,0.0,0.0,
30:e1:71:0f:a2:49,0.0,0.0,0.0,
34:8f:27:20:8c:18,0.0,0.0,0.0,
3c:52:82:ef:a4:8b,0.0,0.0,0.0,
3c:52:82:ef:c4:3c,0.0,0.0,0.0,
40:a5:ef:7a:17:f2,7.105427357601002E-15,0.0,0.0,
60:e3:27:7b:e0:98,0.0,0.0,0.0,
62:ab:1b:60:b4:cb,0.0,1.4210854715202004E-14,1.1368683772161603E-13,
70:5a:0f:57:04:17,0.0,0.0,0.0,
74:ea:3a:ad:d1:50,0.0,0.0,0.0,
8c:0c:90:2d:75:e8,0.0,0.0,0.0,
8c:0c:90:2e:16:88,0.0,7.105427357601002E-15,1.1368683772161603E-13,
8c:0c:90:2e:e8:18,0.0,0.0,0.0,
8c:0c:90:2f:d3:d8,0.0,0.0,0.0,
8c:0c:90:ad:75:e3,0.0,0.0,0.0,
90:6c:ac:9f:f1:c5,0.0,0.0,0.0,
90:6c:ac:a0:60:4d,0.0,0.0,0.0,
90:6c:ac:a0:7b:4d,0.0,0.0,0.0,
a0:ab:1b:60:b4:ca,0.0,0.0,0.0,
a2:6c:ac:a0:18:29,0.0,0.0,0.0,
a2:6c:ac:a0:60:4d,0.0,0.0,0.0,
a2:6c:ac:a0:7b:4d,0.0,0.0,0.0,
b2:6c:ac:9f:f1:c5,0.0,0.0,0.0,
b2:6c:ac:a0:3d:eb,0.0,0.0,0.0,
b2:6c:ac:a0:7b:4d,0.0,0.0,0.0,
c2:6c:ac:9f:fb:1f,0.0,0.0,0.0,
c2:6c:ac:a0:7b:4d,0.0,0.0,0.0,
c4:12:f5:f6:a0:18,0.0,0.0,0.0,
d8:5d:4c:9e:69:22,0.0,0.0,0.0,
e0:10:7f:1a:bd:98,0.0,0.0,0.0,
e4:95:6e:40:87:1a,0.0,0.0,0.0,
ec:8c:a2:08:78:c8,0.0,0.0,0.0,
ec:8c:a2:08:78:cc,0.0,0.0,0.0,
ec:8c:a2:08:94:18,0.0,0.0,0.0,
ec:8c:a2:08:94:1c,0.0,0.0,0.0,
ec:8c:a2:26:b0:e8,0.0,0.0,0.0,
ec:8c:a2:26:b1:78,0.0,0.0,0.0,
ec:8c:a2:26:d3:68,0.0,0.0,0.0,
f8:d1:11:77:77:c6,0.0,0.0,0.0,

Average latitude : 1.513256014831352E-6
Average longitude : 2.2035108788463892E-6
Average altitude : 0.005629885618979662
