Mac nameDiff Lat,Diff Lon,Diff Alt,
Mon Jan 01 02:00:00 IST 70,9.47431175788438E-5,0.001056956864630365,9.979581781327738,
Mon Jan 01 02:00:00 IST 70,2.4093369457034441E-4,1.7533567537242334E-4,3.432132453537861,
Mon Jan 01 02:00:00 IST 70,2.4051384050238767E-4,1.7534358417492513E-4,3.3997415876558534,
Mon Jan 01 02:00:00 IST 70,1.7868587875113917E-5,1.0573653483447742E-5,3.14021628149942,
Mon Jan 01 02:00:00 IST 70,1.9492856921488055E-5,5.963610242076811E-6,1.0615546256514108,
Wed May 12 11:33:00 IST 17,2.6803177262024747E-4,1.931526714358256E-4,0.6865445962123431,
Wed May 12 11:33:00 IST 17,3.56739709026499E-4,4.2534827798590413E-4,2.936333683995258,
Wed May 12 11:33:00 IST 17,1.1104672339001809E-5,2.2370444632713316E-5,3.037654897235484,
Wed May 12 11:33:00 IST 17,2.2598742842205866E-4,1.8143632081546457E-4,4.664175937514415,
Wed May 12 11:33:00 IST 17,32.10384304573616,35.21017522096305,702.8028579266197,
Wed May 12 11:33:00 IST 17,4.416952957342346E-5,2.4026931036758015E-5,3.1910654653636357,
Wed May 12 11:33:00 IST 17,3.651543850224925E-5,4.685965343753651E-5,0.250786713546745,
Wed May 12 11:34:00 IST 17,8.713646877112069E-5,1.0550451064261779E-4,0.17467466198047532,
Wed May 12 11:36:00 IST 17,4.0277299297031277E-4,1.5564128010225886E-4,2.377637256382627,
Wed May 12 11:36:00 IST 17,4.990486385523241E-4,3.4475773013298294E-5,4.7901842709351286,
Wed May 12 11:36:00 IST 17,3.892198451822537E-4,1.6155171125831203E-4,3.0548398140947484,
Wed May 12 11:36:00 IST 17,1.4777723244208119E-5,4.202001013098311E-4,2.948508361006702,
Wed May 12 11:37:00 IST 17,7.952790787655317E-4,8.889930156641412E-4,9.554046320408474,
Wed May 12 11:37:00 IST 17,0.001153498260848096,3.7103839245844483E-4,12.759791300123652,
Wed May 12 11:37:00 IST 17,2.5006113183678735E-5,1.3186056186498263E-5,2.560186644792225,
Wed May 12 11:41:00 IST 17,5.777118739729303E-4,4.8252400771531256E-4,5.747681791718151,
Wed May 12 11:41:00 IST 17,7.263517067670477E-4,9.042387155275833E-4,2.497264326329514,
Wed May 12 11:41:00 IST 17,4.6059867398184906E-4,3.9500883185183966E-4,1.211698590582273,
Wed May 12 11:41:00 IST 17,7.320211143166944E-4,3.3426449814299986E-4,10.220622912790532,
Wed May 12 11:41:00 IST 17,4.1225798912591927E-4,3.6137523733259513E-4,10.666354320237815,
Wed May 12 11:41:00 IST 17,1.6578650518539462E-4,4.7132796797910714E-4,3.018191572780438,
Wed May 12 11:41:00 IST 17,32.10369855717369,35.209179435425696,699.502297056647,
Wed May 12 11:41:00 IST 17,1.8479843352281478E-4,1.0884089211771197E-4,8.557981385303265,
Wed May 12 11:41:00 IST 17,6.92716274791394E-4,2.5819476004329545E-4,8.960829942169767,
Wed May 12 11:41:00 IST 17,3.060849317577663E-4,2.4021630488846313E-4,0.649822922091289,
Wed May 12 11:43:00 IST 17,3.702415079871457E-4,4.899854221704913E-4,17.144536855408433,
Wed May 12 11:43:00 IST 17,3.6325459225849954E-4,4.797094202331209E-4,6.95017774258929,
Wed May 12 11:43:00 IST 17,3.9968313133442734E-4,7.007998387535963E-4,10.243713760932678,
Wed May 12 11:43:00 IST 17,32.1044020856926,35.209603747067945,690.3590826609188,
Wed May 12 11:43:00 IST 17,1.1424853346397867E-4,2.964604914694746E-4,10.610073532523302,
Wed May 12 11:43:00 IST 17,3.1756779389979783E-4,5.969265485106234E-5,12.573488631460009,
Wed May 12 11:43:00 IST 17,6.033153012054981E-4,5.4669870687718E-4,9.300894061912118,
Wed May 12 11:43:00 IST 17,6.292034019139692E-5,3.0722367885260837E-4,1.8764555423426827,
Wed May 12 11:43:00 IST 17,4.0046089390699535E-4,1.6679069401703828E-4,2.593233372176769,
Wed May 12 11:43:00 IST 17,3.4052639085047076E-4,3.4357952181096607E-4,0.3015915923361945,
Wed May 12 11:43:00 IST 17,9.396336265155014E-5,1.4837733885997295E-5,17.048223572699044,
Wed May 12 11:43:00 IST 17,32.1044020856926,35.209603747067945,690.3590826609188,
Wed May 12 11:43:00 IST 17,3.444156413934252E-4,3.5897194840117663E-4,0.6661057416027916,
Wed May 12 11:44:00 IST 17,0.0013831682602045703,5.995424043803155E-4,15.181908879014259,
Wed May 12 11:44:00 IST 17,1.858479851506445E-4,2.8004066501807756E-4,2.569003072984515,
Wed May 12 11:44:00 IST 17,1.5352711368876726E-4,2.7214497048788644E-4,0.6328706807632898,
Wed May 12 11:45:00 IST 17,2.2413471803872653E-5,1.829335383263242E-5,7.3371822595152025,
Wed May 12 11:47:00 IST 17,3.976053082510589E-5,4.4242118215009896E-4,3.9491991625199034,
Wed May 12 11:47:00 IST 17,3.756843621189887E-4,2.2339739504673162E-4,5.975724376766607,
Wed May 12 11:47:00 IST 17,2.8372739382120926E-4,3.960908870226376E-4,1.0046092377605191,
Wed May 12 11:47:00 IST 17,8.409440419399061E-5,1.6953509027928249E-4,6.949221367706286,
Wed May 12 11:47:00 IST 17,1.3566283004706747E-4,4.6178553423459334E-4,2.2050848263221496,
Wed May 12 11:47:00 IST 17,7.470563188149981E-5,1.324306074863557E-4,3.653980370747604,
Wed May 12 11:48:00 IST 17,4.686858272862082E-5,7.125512929917477E-5,4.441862395222415,

Average latitude : 2.3783652407337694
Average longitude : 2.608396625696272
Average altitude : 56.514121588105155
