WigleWifi-1.4,appRelease=2.25,model=Lenovo PB2-690Y,release=6.0.1,device=PB2PRO,display=PB2-
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
b4:ee:b4:36:d2:b0,ben moshe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:12:01,1,-51,32.16857397,34.81328609,-9,8,WIFI
00:f6:63:15:58:82,KaymeraGuest,[ESS],2017-10-27 16:28:09,1,-95,32.16758618,34.80986741,19,4,WIFI
14:cc:20:c8:83:9c,888Free,[ESS],2017-10-27 16:28:06,11,-87,32.167615,34.80992403,19,3,WIFI
14:ae:db:3d:b1:55,EL5,[WPA2-PSK-CCMP][ESS],2017-10-27 16:36:15,48,-96,32.16717453256868,34.80785425837527,36.963385177446035,3,WIFI
00:1d:aa:e2:1a:c0,Kopel,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-27 16:36:15,6,-90,32.16717453256868,34.80785425837527,36.963385177446035,3,WIFI
10:fe:ed:62:9e:1a,Crestron_23,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:15,4,-93,32.16717453256868,34.80785425837527,36.963385177446035,3,WIFI
d0:17:c2:60:e7:38,ASUS,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:36:15,3,-93,32.16717453256868,34.80785425837527,36.963385177446035,3,WIFI
30:f7:72:6e:8e:a0,HP-Print-A0-LaserJet Pro MFP,[ESS],2017-10-27 16:36:15,6,-79,32.16717453256868,34.80785425837527,36.963385177446035,3,WIFI
